[2018-08-29T01:11:06.662] [INFO] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.0.103","method":"GET","url":"/","host":"localhost:3000","message":{"responseTime":"响应时间为2.327s"},"userAgent":"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-29T14:06:11.336] [ERROR] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.10.52","method":"GET","url":"/api","host":"127.0.0.1:3000","message":"Error: .keys required for signed cookies\n    at Cookies.set (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\cookies\\index.js:108:27)\n    at ContextSession.save (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\_koa-session@5.9.0@koa-session\\lib\\context.js:312:24)\n    at <anonymous>\n    at process._tickCallback (internal/process/next_tick.js:188:7)","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-29T14:07:15.514] [INFO] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.10.52","method":"GET","url":"/api","host":"127.0.0.1:3000","message":{"responseTime":"响应时间为0.005s"},"userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-29T14:07:23.895] [ERROR] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.10.52","method":"GET","url":"/api","host":"127.0.0.1:3000","message":"Error: .keys required for signed cookies\n    at Cookies.set (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\cookies\\index.js:108:27)\n    at ContextSession.save (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\_koa-session@5.9.0@koa-session\\lib\\context.js:312:24)\n    at <anonymous>\n    at process._tickCallback (internal/process/next_tick.js:188:7)","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-29T14:08:32.806] [ERROR] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.10.52","method":"GET","url":"/api","host":"127.0.0.1:3000","message":"Error: .keys required for signed cookies\n    at Cookies.set (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\cookies\\index.js:108:27)\n    at ContextSession.save (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\_koa-session@5.9.0@koa-session\\lib\\context.js:312:24)\n    at <anonymous>\n    at process._tickCallback (internal/process/next_tick.js:188:7)","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-29T14:11:24.677] [ERROR] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.10.52","method":"GET","url":"/api","host":"127.0.0.1:3000","message":"Error: .keys required for signed cookies\n    at Cookies.set (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\cookies\\index.js:108:27)\n    at ContextSession.save (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\_koa-session@5.9.0@koa-session\\lib\\context.js:312:24)\n    at <anonymous>\n    at process._tickCallback (internal/process/next_tick.js:188:7)","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-29T14:12:10.748] [ERROR] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.10.52","method":"GET","url":"/api","host":"127.0.0.1:3000","message":"Error: .keys required for signed cookies\n    at Cookies.set (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\cookies\\index.js:108:27)\n    at ContextSession.save (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\_koa-session@5.9.0@koa-session\\lib\\context.js:312:24)\n    at <anonymous>\n    at process._tickCallback (internal/process/next_tick.js:188:7)","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-29T14:14:45.561] [ERROR] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.10.52","method":"GET","url":"/api","host":"127.0.0.1:3000","message":"Error: .keys required for signed cookies\n    at Cookies.set (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\cookies\\index.js:108:27)\n    at ContextSession.save (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\_koa-session@5.9.0@koa-session\\lib\\context.js:312:24)\n    at <anonymous>\n    at process._tickCallback (internal/process/next_tick.js:188:7)","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-29T14:18:05.210] [INFO] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.10.52","method":"GET","url":"/api","host":"127.0.0.1:3000","message":{"responseTime":"响应时间为0.005s"},"userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-29T14:18:05.214] [ERROR] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.10.52","method":"GET","url":"/api","host":"127.0.0.1:3000","message":"Error: .keys required for signed cookies\n    at Cookies.set (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\cookies\\index.js:108:27)\n    at ContextSession.save (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\_koa-session@5.9.0@koa-session\\lib\\context.js:312:24)\n    at <anonymous>\n    at process._tickCallback (internal/process/next_tick.js:188:7)","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
[2018-08-29T14:18:23.343] [ERROR] cheese - {"projectName":"koa2-loggers","serverIp":"192.168.10.52","method":"GET","url":"/api","host":"127.0.0.1:3000","message":"Error: .keys required for signed cookies\n    at Cookies.set (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\cookies\\index.js:108:27)\n    at ContextSession.save (C:\\Users\\Administrator\\Desktop\\novel\\novel_node\\node_modules\\_koa-session@5.9.0@koa-session\\lib\\context.js:312:24)\n    at <anonymous>\n    at process._tickCallback (internal/process/next_tick.js:188:7)","userAgent":"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36"}
